,geo_value,time_value,children cant covid
4807,36119,2021-06-14,11.9846276
4885,6000,2021-06-15,7.5780641
4886,6001,2021-06-15,5.4153794
4887,6013,2021-06-15,6.4623305
4888,6019,2021-06-15,11.8317876
4889,6029,2021-06-15,17.6459399
4890,6037,2021-06-15,10.3032019
4891,6059,2021-06-15,10.9909572
4892,6065,2021-06-15,6.032567
4893,6067,2021-06-15,6.2673074
4894,6071,2021-06-15,11.8713869
4895,6073,2021-06-15,6.879475
4896,6075,2021-06-15,9.9625463
4897,6077,2021-06-15,8.1887475
4898,6081,2021-06-15,6.627781
4899,6085,2021-06-15,5.5941148
4900,6095,2021-06-15,4.9380742
4901,6097,2021-06-15,7.8022034
4902,6099,2021-06-15,5.3284828
4903,6111,2021-06-15,6.7146208
4994,36000,2021-06-15,7.1504875
4995,36005,2021-06-15,13.6281903
4996,36029,2021-06-15,6.1508866
4997,36047,2021-06-15,9.3681771
4998,36055,2021-06-15,9.7456881
4999,36059,2021-06-15,10.0138941
5000,36061,2021-06-15,7.918032
5001,36067,2021-06-15,5.222092
5002,36081,2021-06-15,6.9410118
5003,36103,2021-06-15,5.4794392
5004,36119,2021-06-15,11.1270382
5082,6000,2021-06-16,6.7061318
5083,6001,2021-06-16,5.4382738
5084,6013,2021-06-16,6.4750173
5085,6019,2021-06-16,11.8185829
5086,6029,2021-06-16,18.3443556
5087,6037,2021-06-16,9.4896912
5088,6059,2021-06-16,13.3391848
5089,6065,2021-06-16,5.8511304
5090,6067,2021-06-16,5.6137094
5091,6071,2021-06-16,14.0717603
5092,6073,2021-06-16,8.3858187
5093,6075,2021-06-16,11.0938047
